,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,zipcode,lat,long,sqft_living15,sqft_lot15,month,basement,renovated,age
0,221900.0,3,1.0,1180,5650,1.0,0,0,2,7,98178,47.5112,-122.257,1340,5650,10,0,0,59
1,538000.0,3,2.25,2570,7242,2.0,0,0,2,7,98125,47.721,-122.319,1690,7639,12,1,1,63
2,180000.0,2,1.0,770,10000,1.0,0,0,2,6,98028,47.7379,-122.233,2720,8062,2,0,0,82
3,604000.0,4,3.0,1960,5000,1.0,0,0,4,7,98136,47.5208,-122.393,1360,5000,12,1,0,49
4,510000.0,3,2.0,1680,8080,1.0,0,0,2,8,98074,47.6168,-122.045,1800,7503,2,0,0,28
5,1230000.0,4,4.5,5420,101930,1.0,0,0,2,11,98053,47.6561,-122.005,4760,101930,5,1,0,13
6,257500.0,3,2.25,1715,6819,2.0,0,0,2,7,98003,47.3097,-122.327,2238,6819,6,0,0,19
7,291850.0,3,1.5,1060,9711,1.0,0,0,2,7,98198,47.4095,-122.315,1650,9711,1,0,0,52
8,229500.0,3,1.0,1780,7470,1.0,0,0,2,7,98146,47.5123,-122.337,1780,8113,4,1,0,55
9,323000.0,3,2.5,1890,6560,2.0,0,0,2,7,98038,47.3684,-122.031,2390,7570,3,0,0,12
10,662500.0,3,2.5,3560,9796,1.0,0,0,2,8,98007,47.6007,-122.145,2210,8925,4,1,0,50
11,468000.0,2,1.0,1160,6000,1.0,0,0,3,7,98115,47.69,-122.292,1330,6000,5,1,0,72
12,310000.0,3,1.0,1430,19901,1.5,0,0,3,7,98028,47.7558,-122.229,1780,12697,5,0,0,87
13,400000.0,3,1.75,1370,9680,1.0,0,0,3,7,98074,47.6127,-122.045,1370,10208,10,0,0,37
14,530000.0,5,2.0,1810,4850,1.5,0,0,2,7,98107,47.67,-122.394,1360,4850,3,0,0,115
15,650000.0,4,3.0,2950,5000,2.0,0,3,2,9,98126,47.5714,-122.375,2140,4000,1,1,0,36
16,395000.0,3,2.0,1890,14040,2.0,0,0,2,7,98019,47.7277,-121.962,1890,14018,7,0,0,20
17,485000.0,4,1.0,1600,4300,1.5,0,0,3,7,98103,47.6648,-122.343,1610,4300,5,0,0,98
18,189000.0,2,1.0,1200,9850,1.0,0,0,3,7,98002,47.3089,-122.21,1060,5095,12,0,0,93
19,230000.0,3,1.0,1250,9774,1.0,0,0,3,7,98003,47.3343,-122.306,1280,8850,4,0,0,46
20,385000.0,4,1.75,1620,4980,1.0,0,0,3,7,98133,47.7025,-122.341,1400,4980,5,1,0,67
21,2000000.0,3,2.75,3050,44867,1.0,0,4,2,9,98040,47.5316,-122.233,4110,20336,8,1,0,46
22,285000.0,5,2.5,2270,6300,2.0,0,0,2,8,98092,47.3266,-122.169,2240,7005,7,0,0,19
23,252700.0,2,1.5,1070,9643,1.0,0,0,2,7,98030,47.3533,-122.166,1220,8386,5,0,0,29
24,329000.0,3,2.25,2450,6500,2.0,0,0,3,8,98030,47.3739,-122.172,2200,6865,11,0,0,29
25,233000.0,3,2.0,1710,4697,1.5,0,0,4,6,98002,47.3048,-122.218,1030,4705,11,0,0,73
26,937000.0,3,1.75,2450,2691,2.0,0,0,2,8,98119,47.6386,-122.36,1760,3573,6,1,0,99
27,667000.0,3,1.0,1400,1581,1.5,0,0,4,8,98112,47.6221,-122.314,1860,3861,12,0,0,105
28,438000.0,3,1.75,1520,6380,1.0,0,0,2,7,98115,47.695,-122.304,1520,6235,6,1,0,66
29,719000.0,4,2.5,2570,7173,2.0,0,0,2,8,98052,47.7073,-122.11,2630,6026,3,0,0,10
30,580500.0,3,2.5,2320,3980,2.0,0,0,2,8,98027,47.5391,-122.07,2580,3980,11,0,0,11
31,280000.0,2,1.5,1190,1265,3.0,0,0,2,7,98133,47.7274,-122.357,1390,1756,12,0,0,9
32,687500.0,4,1.75,2330,5000,1.5,0,0,3,7,98117,47.6823,-122.368,1460,5000,6,1,0,85
33,535000.0,3,1.0,1090,3000,1.5,0,0,3,8,98117,47.6889,-122.375,1570,5080,11,0,0,85
34,322500.0,4,2.75,2060,6659,1.0,0,0,2,7,98058,47.4276,-122.157,2020,8720,12,1,0,33
35,696000.0,3,2.5,2300,3060,1.5,0,0,2,8,98115,47.6827,-122.31,1590,3264,6,1,1,84
36,550000.0,4,1.0,1660,34848,1.0,0,0,0,5,98052,47.6621,-122.132,2160,11467,5,1,0,81
37,640000.0,4,2.0,2360,6000,2.0,0,0,3,8,98107,47.6702,-122.362,1730,4700,12,0,0,110
38,240000.0,4,1.0,1220,8075,1.0,0,0,1,7,98001,47.3341,-122.282,1290,7800,2,1,0,46
39,605000.0,4,2.5,2620,7553,2.0,0,0,2,8,98056,47.5301,-122.18,2620,11884,6,0,0,18
40,625000.0,4,2.5,2570,5520,2.0,0,0,2,9,98074,47.6145,-122.027,2470,5669,7,0,0,14
41,775000.0,4,2.25,4220,24186,1.0,0,0,2,8,98166,47.445,-122.347,2410,30617,8,1,0,30
42,861990.0,5,2.75,3595,5639,2.0,0,0,2,9,98053,47.6848,-122.016,3625,5639,7,0,0,0
43,685000.0,3,1.0,1570,2280,2.0,0,0,2,7,98119,47.6413,-122.364,1580,2640,10,0,0,92
44,309000.0,3,1.0,1280,9656,1.0,0,0,3,6,98058,47.4485,-122.175,1340,8808,7,1,0,55
45,488000.0,3,2.5,3160,13603,2.0,0,0,2,8,98019,47.7443,-121.977,3050,9232,7,0,0,11
46,210490.0,3,1.0,990,8528,1.0,0,0,2,6,98023,47.3066,-122.371,1228,8840,3,0,0,49
47,785000.0,4,2.5,2290,13416,2.0,0,0,3,9,98007,47.6194,-122.151,2680,13685,7,0,0,33
48,450000.0,3,1.75,1250,5963,1.0,0,0,3,7,98115,47.6796,-122.301,970,5100,4,0,0,62
49,1350000.0,3,2.5,2753,65005,1.0,1,2,4,9,98070,47.4041,-122.451,2680,72513,3,1,0,62
50,228000.0,3,1.0,1190,9199,1.0,0,0,2,7,98148,47.4258,-122.322,1190,9364,9,0,0,59
51,345000.0,5,2.5,3150,9134,1.0,0,0,3,8,98056,47.4934,-122.189,1990,9133,2,1,0,49
52,600000.0,3,1.75,1410,4080,1.0,0,0,3,7,98117,47.6808,-122.384,1410,4080,12,1,0,64
53,585000.0,2,1.75,1980,8550,1.0,0,0,2,7,98117,47.6989,-122.369,1480,6738,2,1,0,34
54,920000.0,5,2.25,2730,6000,1.5,0,0,2,8,98105,47.6571,-122.281,2730,6000,3,1,0,88
55,885000.0,4,2.5,2830,5000,2.0,0,0,2,9,98105,47.6597,-122.29,1950,5000,5,0,0,19
56,292500.0,4,2.5,2250,4495,2.0,0,0,2,7,98042,47.3663,-122.114,2250,4500,8,0,0,6
57,301000.0,3,2.5,2420,4750,2.0,0,0,2,8,98042,47.3663,-122.122,2690,4750,4,0,0,12
58,951000.0,5,3.25,3250,14342,2.0,0,4,3,8,98008,47.588,-122.116,2960,11044,8,0,0,46
59,430000.0,4,3.0,1850,9976,2.0,0,0,2,8,98059,47.5059,-122.149,2270,8542,2,0,0,24
60,650000.0,3,2.25,2150,21235,1.0,0,3,3,8,98166,47.4336,-122.339,2570,18900,12,1,0,55
61,289000.0,3,1.75,1260,8400,1.0,0,0,2,7,98148,47.4366,-122.335,1290,8750,8,0,0,60
62,505000.0,3,1.75,2519,8690,2.0,0,0,4,8,98166,47.4428,-122.344,2500,9500,10,0,0,41
63,549000.0,3,1.75,1540,1044,3.0,0,0,2,8,98115,47.6765,-122.32,1580,3090,12,0,0,0
64,425000.0,3,2.25,1660,6000,1.0,0,0,2,7,98122,47.6113,-122.297,1440,4080,6,1,0,35
