City Name,Total Population 2000,Total Population 2010,Total Population Numeric Change 2000 to 2010,Total Population Percent Change 2000 to 2010,Population Rank 2000,Population Rank 2010,Population Rank Change in Rank 2000 to 2010,Population Density (Persons / Square Mile) 2000,Population Density (Persons / Square Mile) 2010,Population Density Numeric Change 2000 to 2010,Population Density Percent Change 2000 to 2010,Total Housing Units 2000,Total Housing Units 2010,Total Housing Units Numeric Change 2000 to 2010,Total Housing Units Percent Change 2000 to 2010,Occupied Housing Units 2000,Occupied Housing Units 2010,Vacant Housing Units 2000,Vacant Housing Units 2010,Occupancy Rate (%) 2000,Occupancy Rate (%) 2010,Occupancy Rate Numeric Change 2000 to 2010,Vacancy Rate (%) 2000,Vacancy Rate (%) 2010,Vacancy Rate Numeric Change 2000 to 2010,Land Area (Square Miles) 2000,Land Area (Square Miles) 2010,Total Area (Square Miles) 2000,Total Area (Square Miles) 2010,Water Area (%) 2000,Water Area (%) 2010,Geoid,Location 1 (state),Location 1
Benton,2624,3038,414,15.78,133,137,4,1507.82,1234.17,-273.7,-18.15,1043,1162,119,11.41,894,1086,149,76,85.71,93.46,7.75,14.29,6.54,-7.75,1.74,2.46,1.75,2.49,0.54,1.03,5305560,Washington,
Coulee,600,562,-38,-6.33,223,229,6,604.99,623.03,18.05,2.98,351,331,-20,-5.7,271,265,80,66,77.21,80.06,2.85,22.79,19.94,-2.85,0.99,0.9,0.99,0.9,0,0,5315080,Washington,
Electric,922,968,46,4.99,200,201,1,1706.3,568.62,-1138,-66.68,420,524,104,24.76,382,447,38,77,90.95,85.31,-5.65,9.05,14.69,5.65,0.54,1.7,0.57,2.34,5.46,27.39,5321030,Washington,
Elmer,267,238,-29,-10.86,256,260,4,1291.73,1139.97,-151.8,-11.75,127,112,-15,-11.81,110,99,17,13,86.61,88.39,1.78,13.39,11.61,-1.78,0.21,0.21,0.21,0.21,0,0,5321485,Washington,
Liberty Lake,,7591,,,,92,,,1236.97,,,,3344,,,,2893,,451,,86.51,,,13.49,,,6.14,,6.14,,0,5339335,Washington,POINT (-117.10087000025015 47.66820999999169)
Mount Vernon,26232,31743,5511,21.01,34,33,-1,2360.6,2580.34,219.74,9.31,9686,12058,2372,24.49,9276,11342,410,716,95.77,94.06,-1.71,4.23,5.94,1.71,11.11,12.3,11.37,12.61,2.28,2.44,5347560,Washington,
Portsend,8334,9113,779,9.35,79,84,5,1191.76,1305.76,113.99,9.57,4250,5193,943,22.19,3917,4544,333,649,92.16,87.5,-4.66,7.84,12.5,4.66,6.99,6.98,9.45,9.46,26.03,26.22,5355855,Washington,
Royal,1823,2140,317,17.39,157,157,0,1445.64,1589.41,143.77,9.95,504,494,-10,-1.98,444,486,60,8,88.1,98.38,10.29,11.9,1.62,-10.29,1.26,1.35,1.26,1.35,0,0,5360230,Washington,
Spokane Valley,,89755,,,,10,,,2376.42,,,,38851,,,,36558,,2293,,94.1,,,5.9,,,37.77,,38.06,,0.76,5367167,Washington,POINT (-117.24836999977555 47.65716000033393)
Cle Elum,1755,1872,117,6.67,160,163,3,1182.85,490.08,-692.8,-58.57,956,1105,149,15.59,792,857,164,248,82.85,77.56,-5.29,17.15,22.44,5.29,1.48,3.82,1.48,3.82,0,0.13,5312945,Washington,POINT (-120.93941999963312 47.19503999989627)
